depth,concentration,,,,
17.46210505,39.29648241,,,,
13.45559992,38.99497487,,,,
11.46654505,41.40703518,,,,
9.442727335,44.27135678,,,,
7.44661664,52.86432161,,,,
5.45033386,61.6080402,,,,
4.4463413,71.10552764,,,,
3.4533627,70.95477387,,,,
2.42562126,71.25628141,,,,
1.42799615,75.1758794,,,,
0.91343705,75.92964824,,,,
